Suburb,Land_Use,Land_Use_Description,Count
MCLAREN VALE                                      ,6790,Other Telecommunications                          ,2
MCLAREN VALE                                      ,6810,Post Office                                       ,1
MCLAREN VALE                                      ,6970,Cemeteries                                        ,4
MCLAREN VALE                                      ,7100,Outdoor Arenas                                    ,1
MCLAREN VALE                                      ,7141,Australian Rules Football                         ,1
MCLAREN VALE                                      ,7230,Lawn Bowls                                        ,1
MCLAREN VALE                                      ,7250,Tennis                                            ,1
MCLAREN VALE                                      ,7510,Camping/Caravaning Area                           ,1
MCLAREN VALE                                      ,7530,Parks and Gardens Including Pi                    ,1
MCLAREN VALE                                      ,7560,Shooting Area                                     ,2
MCLAREN VALE                                      ,7900,Recreation - Other                                ,2
MCLAREN VALE                                      ,8240,Mining and Quarrying - Crushed                    ,5
MCLAREN VALE                                      ,9100,Primary Production - Agricultu                    ,4
MCLAREN VALE                                      ,9150,Primary Production - Cereals &                    ,4
MCLAREN VALE                                      ,9160,Primary Production - Cereals &                    ,1
MCLAREN VALE                                      ,9190,Primary Production - Other                        ,1
MCLAREN VALE                                      ,9200,Primary Production - Livestock                    ,7
MCLAREN VALE                                      ,9220,Primary Production - Sheep - M                    ,2
MCLAREN VALE                                      ,9230,Primary Production - Cattle -                     ,1
MCLAREN VALE                                      ,9250,Primary Production - Sheep and                    ,2
MCLAREN VALE                                      ,9273,horses - stock paddocks                           ,1
MCLAREN VALE                                      ,9279,horses and riding school                          ,1
MCLAREN VALE                                      ,9300,Primary Production - Vines                        ,26
MCLAREN VALE                                      ,9301,Vines - Irrigated                                 ,163
MCLAREN VALE                                      ,9340,Primary Production - Almonds                      ,3
MCLAREN VALE                                      ,9350,Olives                                            ,1
MCLAREN VALE                                      ,9360,Primary Production - Vine and                     ,3
MCLAREN VALE                                      ,9361,Vines & others - irrigated                        ,3
MCLAREN VALE                                      ,9600,Primary Production - Mixed Far                    ,1
MCLAREN VALE                                      ,9721,flowers - irrigated                               ,2
MCLAREN VALE                                      ,9930,Primary Production - Nursery (                    ,2
MOANA                                             ,1100,Single Unit - House                               ,949
MOANA                                             ,1101,House and Granny Flat                             ,14
MOANA                                             ,1114,House & Holiday Cabin                             ,1
MOANA                                             ,1117,House with Single Bed & Breakfast                 ,1
MOANA                                             ,1118,House-unestablished grnds/gdns                    ,63
MOANA                                             ,1119,Unfinished House                                  ,7
MOANA                                             ,1220,Maisonette                                        ,15
MOANA                                             ,1300,Home Unit                                         ,2
MOANA                                             ,1310,Ground Floor Unit                                 ,66
MOANA                                             ,1330,Townhouse (Ground & 1st Floor)                    ,27
MOANA                                             ,1335,Townhouse (Unit over 2 Levels)                    ,15
MOANA                                             ,1400,Flat                                              ,4
MOANA                                             ,1410,Single Storey Flat                                ,8
MOANA                                             ,1411,sngl stry flts-hse cov to flts                    ,2
MOANA                                             ,1413,Sngle stry flts-bld strta titl                    ,2
MOANA                                             ,1430,Townhouse style flat                              ,2
MOANA                                             ,2141,Delicatessen                                      ,2
MOANA                                             ,2149,Wine Shop                                         ,1
MOANA                                             ,2161,Chemist                                           ,1
MOANA                                             ,2162,"Newsagent,Book Shop etc                           ",1
MOANA                                             ,2170,Supermarkets                                      ,1
MOANA                                             ,2181,Service Station                                   ,1
MOANA                                             ,2280,Real Estate Agencies                              ,2
MOANA                                             ,2312,Restaurant - Licensed                             ,1
MOANA                                             ,2314,Pizza Bar - Unlicensed                            ,1
MOANA                                             ,2320,Beauty Salons/Ladies Hairdress                    ,1
MOANA                                             ,2460,Gymnasiums Saunas etc                             ,1
MOANA                                             ,2770,Physicians and Surgeons                           ,1
MOANA                                             ,2775,Veterinary Surgeon                                ,1
MOANA                                             ,2780,Dentists                                          ,1
MOANA                                             ,2785,Physiotherapist                                   ,1
MOANA                                             ,2990,Other Repair Services                             ,1
MOANA                                             ,4100,Vacant Land-Urban                                 ,101
MOANA                                             ,4101,Vacant Land Minor Improv Urban                    ,3
MOANA                                             ,4150,Vacant Land - Rural Resident.                     ,1
MOANA                                             ,4500,Reserve                                           ,2
MOANA                                             ,4510,Undeveloped Reserve                               ,5
MOANA                                             ,4520,Developed Reserve                                 ,3
MOANA                                             ,4530,"Road Reserves,Median Strips et                    ",3
MOANA                                             ,5620,Public Hall                                       ,1
MOANA                                             ,6250,Water Pressure Control                            ,1
MOANA                                             ,6980,Public Conveniences                               ,1
MOANA                                             ,7510,Camping/Caravaning Area                           ,1
MOANA                                             ,7530,Parks and Gardens Including Pi                    ,3
MOANA                                             ,7771,SLSA clubrooms                                    ,1
MOANA                                             ,9110,Primary Production - Cereals                      ,1
MORPHETT VALE                                     ,1100,Single Unit - House                               ,8339
MORPHETT VALE                                     ,1101,House and Granny Flat                             ,26
MORPHETT VALE                                     ,1110,Home Industry (Owner Resides)                     ,8
MORPHETT VALE                                     ,1115,House & Flat                                      ,3
MORPHETT VALE                                     ,1118,House-unestablished grnds/gdns                    ,182
MORPHETT VALE                                     ,1119,Unfinished House                                  ,20
MORPHETT VALE                                     ,1220,Maisonette                                        ,194
MORPHETT VALE                                     ,1230,Row House                                         ,3
MORPHETT VALE                                     ,1310,Ground Floor Unit                                 ,934
MORPHETT VALE                                     ,1315,Detached Single Storey Unit                       ,72
MORPHETT VALE                                     ,1320,Ground Floor Unit Multi Storey                    ,17
MORPHETT VALE                                     ,1321,First Floor Unit                                  ,2
MORPHETT VALE                                     ,1330,Townhouse (Ground & 1st Floor)                    ,60
MORPHETT VALE                                     ,1400,Flat                                              ,3
MORPHETT VALE                                     ,1410,Single Storey Flat                                ,340
MORPHETT VALE                                     ,1411,sngl stry flts-hse cov to flts                    ,4
MORPHETT VALE                                     ,1412,Flats N.E.C.                                      ,2
MORPHETT VALE                                     ,1413,Sngle stry flts-bld strta titl                    ,4
MORPHETT VALE                                     ,1420,Two storey & higher Flat                          ,22
MORPHETT VALE                                     ,1760,Retired & Aged Accommodation                      ,3
MORPHETT VALE                                     ,1765,Independent Living Unit                           ,133
MORPHETT VALE                                     ,1810,Hotel                                             ,2
MORPHETT VALE                                     ,1993,Rural Living - Horticulture                       ,1
MORPHETT VALE                                     ,2040,Petroleum Products                                ,1
MORPHETT VALE                                     ,2100,Retail Trade - General                            ,2
MORPHETT VALE                                     ,2110,Retail Trade- Dprtmnt & Genrl                     ,3
MORPHETT VALE                                     ,2120,"Retail- Drapery,Clothing,Footw                    ",2
MORPHETT VALE                                     ,2121,Retail Trade - Clothing                           ,5
MORPHETT VALE                                     ,2124,"Retail Drapery,Softgoods etc                      ",2
MORPHETT VALE                                     ,2125,Retail Trade - Footwear                           ,2
MORPHETT VALE                                     ,2129,Retail Trade - Other                              ,2
MORPHETT VALE                                     ,2131,Retail Trade - Building Materi                    ,6
MORPHETT VALE                                     ,2132,Retail - Electrical Store                         ,2
MORPHETT VALE                                     ,2133,Retail Domestic Hardware                          ,2
MORPHETT VALE                                     ,2134,Retail Gardening Equipment                        ,2
MORPHETT VALE                                     ,2137,"Retail Furniture,Floor Covers                     ",4
MORPHETT VALE                                     ,2138,Retail - Other Household Goods                    ,1
MORPHETT VALE                                     ,2139,Retail Other Electrical                           ,3
MORPHETT VALE                                     ,2140,Retail Trade - Food and Drink                     ,6
MORPHETT VALE                                     ,2141,Delicatessen                                      ,8
MORPHETT VALE                                     ,2142,Grocer                                            ,1
MORPHETT VALE                                     ,2144,Butcher                                           ,5
MORPHETT VALE                                     ,2145,Fruit and Veg.                                    ,3
MORPHETT VALE                                     ,2146,"Bread,Cakes & Pastry                              ",5
MORPHETT VALE                                     ,2147,Health Food & Drinks                              ,2
MORPHETT VALE                                     ,2148,Fish Shop                                         ,1
MORPHETT VALE                                     ,2149,Wine Shop                                         ,3
MORPHETT VALE                                     ,2151,Chicken Shop                                      ,7
MORPHETT VALE                                     ,2157,Toy Shop                                          ,2
MORPHETT VALE                                     ,2158,Craft & Pottery                                   ,1
MORPHETT VALE                                     ,2160,Specialty Shops                                   ,8
MORPHETT VALE                                     ,2161,Chemist                                           ,9
MORPHETT VALE                                     ,2162,"Newsagent,Book Shop etc                           ",4
MORPHETT VALE                                     ,2163,Music Shop                                        ,4
MORPHETT VALE                                     ,2164,Jewellery Shop                                    ,3
MORPHETT VALE                                     ,2165,Sporting Goods                                    ,3
MORPHETT VALE                                     ,2166,Florist & Plant Shop                              ,2
MORPHETT VALE                                     ,2167,Gift Shop & Tobacconist                           ,3
MORPHETT VALE                                     ,2168,Second-hand & Antiques                            ,2
MORPHETT VALE                                     ,2170,Supermarkets                                      ,6
MORPHETT VALE                                     ,2181,Service Station                                   ,4
MORPHETT VALE                                     ,2183,Second-hand Motor Vehicle Sale                    ,3
MORPHETT VALE                                     ,2184,Spare Parts and Accessories                       ,3
MORPHETT VALE                                     ,2185,Tyres and Tubes                                   ,1
MORPHETT VALE                                     ,2187,Boat and Marine Sales                             ,1
MORPHETT VALE                                     ,2189,Motor Bike Sales & Service                        ,2
MORPHETT VALE                                     ,2190,Shops and Dwelling                                ,1
MORPHETT VALE                                     ,2199,Vacant Shop                                       ,53
MORPHETT VALE                                     ,2200,Finance & Real Estate Services                    ,1
MORPHETT VALE                                     ,2210,Bank                                              ,18
MORPHETT VALE                                     ,2220,Finance (Hire Purchase)                           ,1
MORPHETT VALE                                     ,2230,Finance (Money Lending)                           ,6
MORPHETT VALE                                     ,2240,Finance  Stock & Share Broking                    ,3
MORPHETT VALE                                     ,2260,Assurance and Insurance                           ,3
MORPHETT VALE                                     ,2272,Credit Union                                      ,2
MORPHETT VALE                                     ,2280,Real Estate Agencies                              ,11
MORPHETT VALE                                     ,2290,"Auctioneers, Valuers etc                          ",1
MORPHETT VALE                                     ,2300,Personal Services                                 ,2
MORPHETT VALE                                     ,2310,Food and Drink Services                           ,9
MORPHETT VALE                                     ,2311,Restaurant - Unlicensed                           ,6
MORPHETT VALE                                     ,2312,Restaurant - Licensed                             ,4
MORPHETT VALE                                     ,2313,Cafe                                              ,5
MORPHETT VALE                                     ,2314,Pizza Bar - Unlicensed                            ,8
MORPHETT VALE                                     ,2320,Beauty Salons/Ladies Hairdress                    ,19
MORPHETT VALE                                     ,2330,Mens Hairdressing & Tobacconis                    ,3
MORPHETT VALE                                     ,2340,"Laundering, Dry Cleaning Etc                      ",3
MORPHETT VALE                                     ,2350,Clothing Alterations & Cleanin                    ,1
MORPHETT VALE                                     ,2370,Funeral and Crematorial Servic                    ,1
MORPHETT VALE                                     ,2400,Personal Services                                 ,1
MORPHETT VALE                                     ,2410,Dancing School                                    ,1
MORPHETT VALE                                     ,2430,Travel and Tourist Bureau                         ,2
MORPHETT VALE                                     ,2440,TAB and Betting Services                          ,1
MORPHETT VALE                                     ,2460,Gymnasiums Saunas etc                             ,3
MORPHETT VALE                                     ,2470,"Engraver, Keycutting,Locksmith                    ",1
MORPHETT VALE                                     ,2490,Personal Services - Other                         ,4
MORPHETT VALE                                     ,2500,Office (Buildings)                                ,15
MORPHETT VALE                                     ,2510,Advertising Services                              ,1
MORPHETT VALE                                     ,2520,"Typewriting,Copying Etc                           ",1
MORPHETT VALE                                     ,2525,Office equipment Supplies                         ,1
MORPHETT VALE                                     ,2530,Business Management Etc                           ,2
MORPHETT VALE                                     ,2540,Employment Agencies                               ,1
MORPHETT VALE                                     ,2596,"Garage, Carport Etc Display                       ",1
MORPHETT VALE                                     ,2600,Office/Warehouse                                  ,6
MORPHETT VALE                                     ,2610,Equipment Rental & Leasing                        ,2
MORPHETT VALE                                     ,2650,Farm Products Warehouse                           ,1
MORPHETT VALE                                     ,2669,"Saddlery,Riding Outfitters                        ",1
MORPHETT VALE                                     ,2690,Other Business Services                           ,2
MORPHETT VALE                                     ,2699,Vacant Office                                     ,15
MORPHETT VALE                                     ,2720,Surveying                                         ,1
MORPHETT VALE                                     ,2730,Accounting Services                               ,5
MORPHETT VALE                                     ,2735,Computer Consultants                              ,1
MORPHETT VALE                                     ,2740,Architecture Services                             ,2
MORPHETT VALE                                     ,2760,Legal Services                                    ,2
MORPHETT VALE                                     ,2770,Physicians and Surgeons                           ,19
MORPHETT VALE                                     ,2775,Veterinary Surgeon                                ,1
MORPHETT VALE                                     ,2780,Dentists                                          ,9
MORPHETT VALE                                     ,2785,Physiotherapist                                   ,2
MORPHETT VALE                                     ,2786,Chiropractor                                      ,2
MORPHETT VALE                                     ,2790,Other Professional Services                       ,12
MORPHETT VALE                                     ,2830,"Plumbing,Heating & Air-condit.                    ",1
MORPHETT VALE                                     ,2840,"Painting,Paper-hanging Service                    ",3
MORPHETT VALE                                     ,2850,Electrical Services                               ,1
MORPHETT VALE                                     ,2890,Other Construction Services                       ,2
MORPHETT VALE                                     ,2900,Repair Services - Workshop                        ,5
MORPHETT VALE                                     ,2910,Motor Vehicle Repair Services                     ,13
MORPHETT VALE                                     ,2920,Car Wash Services                                 ,1
MORPHETT VALE                                     ,2930,Electrical Repair Services                        ,1
MORPHETT VALE                                     ,3320,Furniture and Fixtures                            ,3
MORPHETT VALE                                     ,4100,Vacant Land-Urban                                 ,228
MORPHETT VALE                                     ,4101,Vacant Land Minor Improv Urban                    ,8
MORPHETT VALE                                     ,4190,Heritage Area (Includes ruins)                    ,1
MORPHETT VALE                                     ,4500,Reserve                                           ,14
MORPHETT VALE                                     ,4510,Undeveloped Reserve                               ,65
MORPHETT VALE                                     ,4520,Developed Reserve                                 ,50
MORPHETT VALE                                     ,4530,"Road Reserves,Median Strips et                    ",33
MORPHETT VALE                                     ,4540,Walkway                                           ,3
MORPHETT VALE                                     ,5210,Kindergarten & Child Minding                      ,8
MORPHETT VALE                                     ,5211,Private Kindy & Child Minding                     ,3
MORPHETT VALE                                     ,5220,Primary School                                    ,5
MORPHETT VALE                                     ,5221,Private Primary School                            ,4
MORPHETT VALE                                     ,5230,Secondary School                                  ,3
MORPHETT VALE                                     ,5231,Private Secondary School                          ,1
MORPHETT VALE                                     ,5280,Other Professional School                         ,1
MORPHETT VALE                                     ,5290,Other Educational Services                        ,1
MORPHETT VALE                                     ,5300,Social Welfare Service                            ,1
MORPHETT VALE                                     ,5310,Social Service & Welfare                          ,1
MORPHETT VALE                                     ,5330,Charitable Organisation                           ,1
MORPHETT VALE                                     ,5390,Other Social Welfare                              ,6
MORPHETT VALE                                     ,5510,Library and Reading                               ,1
MORPHETT VALE                                     ,5511,Institute                                         ,1
MORPHETT VALE                                     ,5530,Art Gallery                                       ,1
MORPHETT VALE                                     ,5610,Churches/Seminary                                 ,11
MORPHETT VALE                                     ,5662,Boy Scouts                                        ,1
MORPHETT VALE                                     ,5680,Private Clubs  Non Residential                    ,4
MORPHETT VALE                                     ,5690,Other Places of Assembly                          ,1
MORPHETT VALE                                     ,5730,Social/Entertainment Club                         ,1
MORPHETT VALE                                     ,5830,Convalescent & Rest Home                          ,2
MORPHETT VALE                                     ,5850,Ambulance Centre                                  ,1
MORPHETT VALE                                     ,5890,Other Medical & Health Service                    ,7
MORPHETT VALE                                     ,5990,Other Services Public Institut                    ,1
MORPHETT VALE                                     ,6190,Other Electricity & Gas Operat                    ,1
MORPHETT VALE                                     ,6290,Other Water/Irrigation/Sewage                     ,6
MORPHETT VALE                                     ,6410,Railway right of way                              ,1
MORPHETT VALE                                     ,6530,Car Parking - Motor Vehicle Tr                    ,9
MORPHETT VALE                                     ,6710,Telephone Exchange Operation                      ,1
MORPHETT VALE                                     ,6790,Other Telecommunications                          ,7
MORPHETT VALE                                     ,6810,Post Office                                       ,1
MORPHETT VALE                                     ,6970,Cemeteries                                        ,2
MORPHETT VALE                                     ,6980,Public Conveniences                               ,1
MORPHETT VALE                                     ,7100,Outdoor Arenas                                    ,1
MORPHETT VALE                                     ,7140,Football                                          ,1
MORPHETT VALE                                     ,7142,Soccer                                            ,1
MORPHETT VALE                                     ,7143,Rugby                                             ,1
MORPHETT VALE                                     ,7220,Basketball                                        ,1
MORPHETT VALE                                     ,7250,Tennis                                            ,1
MORPHETT VALE                                     ,7260,Other Outdoor Arenas                              ,2
MORPHETT VALE                                     ,7500,Extensive Areas                                   ,2
MORPHETT VALE                                     ,7530,Parks and Gardens Including Pi                    ,13
MORPHETT VALE                                     ,7551,Horse-riding School                               ,1
MORPHETT VALE                                     ,7630,Basketball Area                                   ,1
MORPHETT VALE                                     ,7690,Recreation - Indoor Other                         ,1
MORPHETT VALE                                     ,7900,Recreation - Other                                ,1
NOARLUNGA CENTRE                                  ,1100,Single Unit - House                               ,50
NOARLUNGA CENTRE                                  ,1118,House-unestablished grnds/gdns                    ,1
NOARLUNGA CENTRE                                  ,1320,Ground Floor Unit Multi Storey                    ,7
NOARLUNGA CENTRE                                  ,1321,First Floor Unit                                  ,12
NOARLUNGA CENTRE                                  ,1322,Second Floor Unit                                 ,8
NOARLUNGA CENTRE                                  ,1330,Townhouse (Ground & 1st Floor)                    ,16
NOARLUNGA CENTRE                                  ,1780,Other Institutional Resident.                     ,1
NOARLUNGA CENTRE                                  ,1810,Hotel                                             ,1
NOARLUNGA CENTRE                                  ,2100,Retail Trade - General                            ,2
NOARLUNGA CENTRE                                  ,2110,Retail Trade- Dprtmnt & Genrl                     ,203
NOARLUNGA CENTRE                                  ,2121,Retail Trade - Clothing                           ,2
NOARLUNGA CENTRE                                  ,2124,"Retail Drapery,Softgoods etc                      ",1
NOARLUNGA CENTRE                                  ,2125,Retail Trade - Footwear                           ,1
NOARLUNGA CENTRE                                  ,2130,Retail Trade - Household Goods                    ,3
NOARLUNGA CENTRE                                  ,2132,Retail - Electrical Store                         ,2
NOARLUNGA CENTRE                                  ,2134,Retail Gardening Equipment                        ,1
NOARLUNGA CENTRE                                  ,2137,"Retail Furniture,Floor Covers                     ",4
NOARLUNGA CENTRE                                  ,2138,Retail - Other Household Goods                    ,1
NOARLUNGA CENTRE                                  ,2139,Retail Other Electrical                           ,3
NOARLUNGA CENTRE                                  ,2140,Retail Trade - Food and Drink                     ,1
NOARLUNGA CENTRE                                  ,2144,Butcher                                           ,1
NOARLUNGA CENTRE                                  ,2146,"Bread,Cakes & Pastry                              ",2
NOARLUNGA CENTRE                                  ,2149,Wine Shop                                         ,1
NOARLUNGA CENTRE                                  ,2157,Toy Shop                                          ,1
NOARLUNGA CENTRE                                  ,2158,Craft & Pottery                                   ,1
NOARLUNGA CENTRE                                  ,2160,Specialty Shops                                   ,1
NOARLUNGA CENTRE                                  ,2162,"Newsagent,Book Shop etc                           ",1
NOARLUNGA CENTRE                                  ,2163,Music Shop                                        ,2
NOARLUNGA CENTRE                                  ,2165,Sporting Goods                                    ,3
NOARLUNGA CENTRE                                  ,2168,Second-hand & Antiques                            ,2
NOARLUNGA CENTRE                                  ,2169,Pet Shop                                          ,1
NOARLUNGA CENTRE                                  ,2170,Supermarkets                                      ,1
NOARLUNGA CENTRE                                  ,2180,Motor Vehicles & Accessories                      ,2
NOARLUNGA CENTRE                                  ,2181,Service Station                                   ,1
NOARLUNGA CENTRE                                  ,2182,Motor Vehicle Sales                               ,1
NOARLUNGA CENTRE                                  ,2184,Spare Parts and Accessories                       ,3
NOARLUNGA CENTRE                                  ,2199,Vacant Shop                                       ,5
NOARLUNGA CENTRE                                  ,2210,Bank                                              ,2
NOARLUNGA CENTRE                                  ,2290,"Auctioneers, Valuers etc                          ",3
NOARLUNGA CENTRE                                  ,2310,Food and Drink Services                           ,2
NOARLUNGA CENTRE                                  ,2311,Restaurant - Unlicensed                           ,2
NOARLUNGA CENTRE                                  ,2314,Pizza Bar - Unlicensed                            ,1
NOARLUNGA CENTRE                                  ,2316,Hamburger Shop                                    ,1
NOARLUNGA CENTRE                                  ,2460,Gymnasiums Saunas etc                             ,2
NOARLUNGA CENTRE                                  ,2490,Personal Services - Other                         ,1
NOARLUNGA CENTRE                                  ,2500,Office (Buildings)                                ,11
NOARLUNGA CENTRE                                  ,2540,Employment Agencies                               ,4
NOARLUNGA CENTRE                                  ,2690,Other Business Services                           ,1
NOARLUNGA CENTRE                                  ,2699,Vacant Office                                     ,4
NOARLUNGA CENTRE                                  ,2760,Legal Services                                    ,1
NOARLUNGA CENTRE                                  ,2770,Physicians and Surgeons                           ,1
NOARLUNGA CENTRE                                  ,2780,Dentists                                          ,1
NOARLUNGA CENTRE                                  ,2785,Physiotherapist                                   ,1
NOARLUNGA CENTRE                                  ,2790,Other Professional Services                       ,2
NOARLUNGA CENTRE                                  ,2960,Lawnmower Repairs                                 ,1
NOARLUNGA CENTRE                                  ,4100,Vacant Land-Urban                                 ,13
NOARLUNGA CENTRE                                  ,4101,Vacant Land Minor Improv Urban                    ,1
NOARLUNGA CENTRE                                  ,4510,Undeveloped Reserve                               ,3
NOARLUNGA CENTRE                                  ,4530,"Road Reserves,Median Strips et                    ",8
NOARLUNGA CENTRE                                  ,5130,Local Government                                  ,2
NOARLUNGA CENTRE                                  ,5190,Other Governmental Services                       ,1
NOARLUNGA CENTRE                                  ,5241,University                                        ,1
NOARLUNGA CENTRE                                  ,5270,Adult Education                                   ,1
NOARLUNGA CENTRE                                  ,5300,Social Welfare Service                            ,1
NOARLUNGA CENTRE                                  ,5310,Social Service & Welfare                          ,2
NOARLUNGA CENTRE                                  ,5751,Picture Theatres                                  ,1
NOARLUNGA CENTRE                                  ,5790,Other Amusement & Entertainmen                    ,1
NOARLUNGA CENTRE                                  ,5810,Hospital                                          ,1
NOARLUNGA CENTRE                                  ,5850,Ambulance Centre                                  ,1
NOARLUNGA CENTRE                                  ,5890,Other Medical & Health Service                    ,3
NOARLUNGA CENTRE                                  ,5990,Other Services Public Institut                    ,5
NOARLUNGA CENTRE                                  ,6170,Electricity Sub-Station                           ,1
NOARLUNGA CENTRE                                  ,6430,Railway terminal facil-pasngr                     ,1
NOARLUNGA CENTRE                                  ,6530,Car Parking - Motor Vehicle Tr                    ,1
NOARLUNGA CENTRE                                  ,6532,Car parking lot                                   ,1
NOARLUNGA CENTRE                                  ,6710,Telephone Exchange Operation                      ,1
NOARLUNGA CENTRE                                  ,6790,Other Telecommunications                          ,2
NOARLUNGA CENTRE                                  ,6810,Post Office                                       ,1
NOARLUNGA CENTRE                                  ,7530,Parks and Gardens Including Pi                    ,1
NOARLUNGA CENTRE                                  ,7600,Indoor Areas - Recreation                         ,1
NOARLUNGA CENTRE                                  ,7620,Bowling Alley                                     ,1
NOARLUNGA CENTRE                                  ,7662,Recreation - Ice Skating                          ,1
NOARLUNGA CENTRE                                  ,7770,Recreation - Swimming Area                        ,1
NOARLUNGA DOWNS                                   ,1100,Single Unit - House                               ,1362
NOARLUNGA DOWNS                                   ,1101,House and Granny Flat                             ,1
NOARLUNGA DOWNS                                   ,1118,House-unestablished grnds/gdns                    ,107
NOARLUNGA DOWNS                                   ,1119,Unfinished House                                  ,8
NOARLUNGA DOWNS                                   ,1220,Maisonette                                        ,44
NOARLUNGA DOWNS                                   ,1310,Ground Floor Unit                                 ,34
NOARLUNGA DOWNS                                   ,1315,Detached Single Storey Unit                       ,1
NOARLUNGA DOWNS                                   ,1400,Flat                                              ,6
NOARLUNGA DOWNS                                   ,1410,Single Storey Flat                                ,33
NOARLUNGA DOWNS                                   ,1430,Townhouse style flat                              ,8
NOARLUNGA DOWNS                                   ,1700,Institutional Resident. Accomm                    ,1
NOARLUNGA DOWNS                                   ,1765,Independent Living Unit                           ,81
NOARLUNGA DOWNS                                   ,1810,Hotel                                             ,1
NOARLUNGA DOWNS                                   ,1912,Rural Residential House                           ,1
NOARLUNGA DOWNS                                   ,2181,Service Station                                   ,1
NOARLUNGA DOWNS                                   ,2185,Tyres and Tubes                                   ,1
NOARLUNGA DOWNS                                   ,2910,Motor Vehicle Repair Services                     ,1
NOARLUNGA DOWNS                                   ,4100,Vacant Land-Urban                                 ,42
NOARLUNGA DOWNS                                   ,4101,Vacant Land Minor Improv Urban                    ,1
NOARLUNGA DOWNS                                   ,4150,Vacant Land - Rural Resident.                     ,1
NOARLUNGA DOWNS                                   ,4500,Reserve                                           ,11
NOARLUNGA DOWNS                                   ,4510,Undeveloped Reserve                               ,18
NOARLUNGA DOWNS                                   ,4520,Developed Reserve                                 ,13
NOARLUNGA DOWNS                                   ,4530,"Road Reserves,Median Strips et                    ",25
NOARLUNGA DOWNS                                   ,5100,Governmental Public Institutio                    ,1
NOARLUNGA DOWNS                                   ,5220,Primary School                                    ,1
NOARLUNGA DOWNS                                   ,5231,Private Secondary School                          ,1
NOARLUNGA DOWNS                                   ,5390,Other Social Welfare                              ,1
NOARLUNGA DOWNS                                   ,5610,Churches/Seminary                                 ,1
NOARLUNGA DOWNS                                   ,5650,Places of Assembly - Lodges                       ,1
NOARLUNGA DOWNS                                   ,5680,Private Clubs  Non Residential                    ,1
NOARLUNGA DOWNS                                   ,5730,Social/Entertainment Club                         ,1
NOARLUNGA DOWNS                                   ,6290,Other Water/Irrigation/Sewage                     ,1
NOARLUNGA DOWNS                                   ,6410,Railway right of way                              ,2
NOARLUNGA DOWNS                                   ,6790,Other Telecommunications                          ,1
NOARLUNGA DOWNS                                   ,7140,Football                                          ,1
NOARLUNGA DOWNS                                   ,7530,Parks and Gardens Including Pi                    ,4
NOARLUNGA DOWNS                                   ,9150,Primary Production - Cereals &                    ,1
O'HALLORAN HILL                                   ,1100,Single Unit - House                               ,864
O'HALLORAN HILL                                   ,1101,House and Granny Flat                             ,3
O'HALLORAN HILL                                   ,1119,Unfinished House                                  ,10
O'HALLORAN HILL                                   ,1220,Maisonette                                        ,16
O'HALLORAN HILL                                   ,1310,Ground Floor Unit                                 ,45
O'HALLORAN HILL                                   ,1315,Detached Single Storey Unit                       ,41
O'HALLORAN HILL                                   ,1330,Townhouse (Ground & 1st Floor)                    ,11
O'HALLORAN HILL                                   ,1760,Retired & Aged Accommodation                      ,1
O'HALLORAN HILL                                   ,1810,Hotel                                             ,1
O'HALLORAN HILL                                   ,1912,Rural Residential House                           ,2
O'HALLORAN HILL                                   ,2121,Retail Trade - Clothing                           ,2
O'HALLORAN HILL                                   ,2125,Retail Trade - Footwear                           ,1
O'HALLORAN HILL                                   ,2126,Retail Trade - Sewing Centre                      ,1
O'HALLORAN HILL                                   ,2137,"Retail Furniture,Floor Covers                     ",1
O'HALLORAN HILL                                   ,2141,Delicatessen                                      ,2
O'HALLORAN HILL                                   ,2144,Butcher                                           ,2
O'HALLORAN HILL                                   ,2145,Fruit and Veg.                                    ,2
O'HALLORAN HILL                                   ,2146,"Bread,Cakes & Pastry                              ",3
O'HALLORAN HILL                                   ,2151,Chicken Shop                                      ,2
O'HALLORAN HILL                                   ,2158,Craft & Pottery                                   ,1
O'HALLORAN HILL                                   ,2161,Chemist                                           ,1
O'HALLORAN HILL                                   ,2162,"Newsagent,Book Shop etc                           ",1
O'HALLORAN HILL                                   ,2165,Sporting Goods                                    ,1
O'HALLORAN HILL                                   ,2166,Florist & Plant Shop                              ,2
O'HALLORAN HILL                                   ,2169,Pet Shop                                          ,3
O'HALLORAN HILL                                   ,2170,Supermarkets                                      ,1
O'HALLORAN HILL                                   ,2181,Service Station                                   ,2
O'HALLORAN HILL                                   ,2199,Vacant Shop                                       ,4
